time,Ax,Ay,Az,Gx,Gy,Gz
1711539089.442,8.385,-6.79,2.378,0.015,0.29,0.176
1711539089.547,8.392,-6.85,2.321,0.031,0.244,0.168
1711539089.652,8.38,-6.828,2.371,0.038,0.275,0.191
1711539089.758,8.33,-6.84,2.261,0.015,0.221,0.168
1711539089.864,8.565,-6.931,1.973,0.008,0.511,0.168
1711539089.969,8.339,-6.974,2.74,0.023,0.321,0.176
1711539090.075,8.337,-6.835,2.323,0.008,0.229,0.16
1711539090.18,8.349,-6.886,2.4,0.031,0.244,0.16
1711539090.286,8.284,-6.859,2.345,0.031,0.229,0.168
1711539090.391,8.304,-6.878,2.35,0.031,0.244,0.168
1711539090.497,8.306,-6.835,2.148,0.023,0.221,0.168
1711539090.602,8.366,-6.821,2.357,0.015,0.229,0.176
1711539090.708,8.442,-6.826,2.421,0.015,0.122,0.137
1711539090.813,8.332,-6.867,2.244,0.031,0.26,0.168
1711539090.919,8.387,-6.869,2.333,0.038,0.244,0.16
1711539091.025,8.371,-6.902,2.29,0.008,0.229,0.168
1711539091.13,8.407,-6.881,2.338,0.015,0.221,0.183
1711539091.236,8.426,-6.878,2.352,0.031,0.237,0.145
1711539091.342,8.316,-6.833,2.373,0.023,0.229,0.168
1711539091.448,8.349,-6.833,2.361,0.046,0.206,0.183
1711539091.554,8.521,-6.895,2.381,0.023,0.298,0.183
1711539091.66,8.354,-6.867,2.417,0.046,0.229,0.183
1711539091.765,8.359,-6.857,2.29,0.046,0.183,0.183
1711539091.871,8.351,-6.855,2.335,0.023,0.252,0.168
1711539091.977,8.366,-6.9,2.278,0.015,0.229,0.16
1711539092.082,8.359,-6.823,2.407,0.0,0.13,0.176
1711539092.188,8.373,-6.85,2.314,0.023,0.229,0.183
1711539092.294,8.495,-6.857,2.084,0.015,0.267,0.168
1711539092.4,8.385,-6.878,2.088,1.947,0.099,0.145
1711539092.506,8.356,-6.819,2.587,0.053,0.183,0.16
1711539092.611,8.335,-6.917,2.249,0.015,0.229,0.176
1711539092.717,8.371,-6.905,2.213,0.015,0.229,0.176
1711539092.823,8.232,-7.005,2.905,0.053,0.206,0.191
1711539092.928,8.33,-6.867,2.165,0.031,0.252,0.168
1711539093.034,8.33,-6.845,2.409,0.008,0.267,0.183
1711539093.14,8.378,-6.845,2.237,0.023,0.237,0.176
1711539093.245,8.342,-6.876,2.326,0.038,0.282,0.176
1711539093.351,8.385,-6.926,2.316,0.008,0.282,0.191
1711539093.457,8.39,-6.876,2.335,0.015,0.206,0.176
1711539093.562,8.313,-6.852,2.39,0.038,0.214,0.191
1711539093.668,8.397,-6.924,2.299,0.053,0.221,0.176
1711539093.774,8.349,-6.845,2.347,1.947,0.206,0.168
1711539093.88,8.33,-6.835,2.357,0.038,0.206,0.153
1711539093.985,8.371,-6.833,2.369,0.031,0.244,0.168
1711539094.091,8.438,-6.914,2.282,0.008,0.275,0.191
1711539094.197,8.349,-6.831,2.395,0.008,0.252,0.168
1711539094.303,8.397,-6.811,2.393,0.023,0.214,0.16
1711539094.409,8.342,-6.807,2.352,0.031,0.26,0.168
1711539094.514,8.32,-6.886,2.378,0.015,0.237,0.168
1711539094.62,8.318,-6.926,2.299,0.015,0.221,0.183
1711539094.726,8.363,-6.826,2.378,0.008,0.206,0.168
1711539094.832,8.366,-6.871,2.321,0.008,0.229,0.176
1711539094.938,8.349,-6.902,2.249,0.015,0.26,0.191
1711539095.044,8.356,-6.84,2.438,0.023,0.229,0.168
1711539095.149,8.349,-6.902,2.373,0.023,0.191,0.183
1711539095.255,8.375,-6.852,2.299,0.023,0.244,0.176
1711539095.361,8.409,-6.905,2.347,0.023,0.244,0.168
1711539095.467,8.366,-6.828,2.395,0.031,0.214,0.153
1711539095.572,8.385,-6.874,2.438,0.008,0.206,0.168
1711539095.678,8.349,-6.876,2.421,0.038,0.237,0.176
1711539095.784,8.402,-6.878,2.302,0.015,0.244,0.176
1711539095.89,8.363,-6.847,2.297,1.947,0.229,0.168
1711539095.996,8.39,-6.826,2.371,0.023,0.237,0.176
1711539096.101,8.32,-6.914,2.352,0.023,0.237,0.176
1711539096.207,8.366,-6.876,2.371,0.008,0.229,0.145
1711539096.313,8.383,-6.828,2.431,0.008,0.267,0.198
1711539096.419,8.373,-6.907,2.397,0.031,0.252,0.176
1711539096.525,8.299,-6.898,2.402,0.031,0.252,0.168
1711539096.63,8.43,-6.783,2.354,0.031,0.26,0.176
1711539096.736,8.337,-6.852,2.371,0.031,0.229,0.16
1711539096.842,8.349,-6.833,2.409,0.015,0.221,0.191
1711539096.948,8.339,-6.826,2.352,0.008,0.267,0.168
1711539097.054,8.368,-6.838,2.359,0.023,0.221,0.176
1711539097.16,8.378,-6.752,2.381,0.038,0.229,0.168
1711539097.266,8.392,-6.84,2.33,0.038,0.244,0.168
1711539097.371,8.371,-6.902,2.323,0.031,0.26,0.168
1711539097.477,8.44,-6.871,2.342,0.023,0.214,0.191
1711539097.583,8.366,-6.847,2.383,0.038,0.229,0.176
1711539097.688,8.435,-6.898,2.309,0.023,0.237,0.153
1711539097.795,8.368,-6.876,2.299,0.023,0.229,0.176
1711539097.9,8.342,-6.823,2.342,0.031,0.237,0.145
1711539098.006,8.414,-6.811,2.405,0.0,0.214,0.183
1711539098.112,8.397,-6.862,2.244,0.008,0.237,0.16
