time,Ax,Ay,Az,Gx,Gy,Gz
1711476209.477,-3.104,6.421,8.071,-0.351,-0.092,-0.107
1711476209.583,-3.018,6.45,7.956,-0.336,-0.069,-0.099
1711476209.689,-3.358,6.352,7.971,-0.817,-0.015,-0.191
1711476209.794,-3.178,6.323,8.205,-0.183,-0.153,-0.008
1711476209.9,-3.126,6.38,8.014,-0.267,-0.107,-0.099
1711476210.006,-3.051,6.467,7.92,-0.473,-0.031,-0.145
1711476210.112,-3.152,6.423,8.074,-0.527,-0.038,-0.099
1711476210.218,-3.152,6.385,7.954,-0.321,-0.107,-0.099
1711476210.323,-3.154,6.469,8.038,-0.435,-0.053,-0.107
1711476210.429,-3.123,6.467,7.911,-0.29,-0.107,-0.099
1711476210.535,-3.037,6.502,8.102,-0.206,-0.107,-0.069
1711476210.641,-3.109,6.438,7.853,-0.328,-0.084,-0.099
1711476210.747,-3.082,6.517,8.047,-0.435,-0.061,-0.13
1711476210.853,-3.049,6.459,7.992,-0.473,-0.076,-0.115
1711476210.959,-3.128,6.308,8.059,-0.458,-0.076,-0.122
1711476211.065,-3.166,6.428,7.987,-0.542,-0.038,-0.153
1711476211.171,-4.026,6.174,7.611,-1.962,2.733,-0.298
1711476211.276,-3.149,6.17,8.49,3.695,-1.069,1.023
1711476211.382,-3.046,6.675,7.528,-2.71,0.504,-0.595
1711476211.488,-3.099,6.385,8.179,-1.145,-0.015,-0.244
1711476211.594,-3.303,6.445,8.04,-0.076,-0.137,0.107
1711476211.7,-2.977,6.498,7.947,-0.092,-0.13,-0.046
1711476211.805,-3.109,6.452,7.834,-0.672,-0.076,-0.153
1711476211.911,-3.161,6.584,8.11,-0.496,-0.053,-0.122
1711476212.017,-3.133,6.459,7.995,-0.336,-0.099,-0.084
1711476212.123,-3.056,6.452,7.983,-0.275,-0.092,-0.092
1711476212.229,-3.087,6.479,8.09,-0.382,-0.084,-0.115
1711476212.334,-3.19,6.514,7.975,-0.366,-0.061,-0.084
1711476212.44,-3.106,6.368,8.093,-0.626,-0.038,-0.183
1711476212.546,-3.102,6.344,8.035,0.084,-0.183,-0.023
1711476212.652,-3.025,6.524,7.844,-0.458,-0.084,-0.099
1711476212.758,-3.14,6.5,7.951,-0.328,-0.092,-0.099
1711476212.864,-3.056,6.447,7.896,-0.26,-0.092,-0.076
1711476212.97,-3.137,6.558,8.081,-0.481,-0.076,-0.122
1711476213.075,-3.145,6.397,7.817,-0.435,-0.084,-0.122
1711476213.181,-3.123,6.447,8.016,-0.298,-0.084,-0.092
1711476213.287,-3.003,6.481,8.002,-0.359,-0.092,-0.099
1711476213.393,-3.128,6.359,8.078,-0.573,-0.053,-0.137
1711476213.499,-3.075,6.584,8.023,-0.344,-0.076,-0.084
1711476213.604,-3.118,6.419,8.004,-0.374,-0.076,-0.107
1711476213.71,-3.078,6.402,7.884,-0.221,-0.115,-0.053
1711476213.816,-3.09,6.38,7.99,-0.435,-0.084,-0.122
1711476213.922,-3.056,6.294,8.105,-0.359,-0.084,-0.084
1711476214.028,-3.075,6.32,7.853,-0.252,-0.099,-0.076
1711476214.133,-3.109,6.498,7.99,-0.443,-0.076,-0.084
1711476214.239,-3.066,6.443,8.064,-0.435,-0.061,-0.099
1711476214.345,-3.161,6.435,8.11,-0.321,-0.084,-0.092
